ADDRESS,TOTAL_STAKED,LP_DEPOSIT_VOLUME,LP_DEPOSIT_COUNT,LP_POOL_COUNT,LP_PLATFORM_COUNT,LENDING_DEPOSIT_VOLUME,LENDING_DEPOSIT_TX_COUNT,BORROW_VOLUME,BORROW_TX_COUNT,TOTAL_STABLECOIN_SWAPPED_OUT,NFT_TX_COUNT,NFT_PURCHASE_VOLUME,DISTINCT_NFT_MARKETS,TOTAL_MINTS,DISTINCT_NFT_COLLECTIONS,STABLECOIN_SENT_VOLUME,UNIQUE_TOKENS,TX_PER_WEEK,AVG_TX_VALUE,TOTAL_SENT_TO_CONTRACTS,TOTAL_DISTINCT_CONTRACTS,DAYS_ACTIVE,TENURE_IN_WEEKS,DAYS_SINCE_LAST_SEEN,GOVERNANCE_VOTE_COUNT
0x00000f86439e148db74b4af23addf7d9f200799f,0,0.03563274052,1,1,1,"null","null","null","null",0,0,0,0,0,0,595.17,2,14,297.6075,0.04,2,2,4,22,"null"
0x03abf2db554f852327463da3625712eca753348f,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,55.78,2,28,27.915,0,1,1,5,34,"null"
0x05422fbb9c8b189a1698998ca49a1662827ccaea,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,500.93,1,14,500.68,0,1,1,"null","null","null"
0x02528823a826784f2a8133f741a70d3810a20bbf,0,36.465710535,1,2,2,"null","null","null","null",18.22,0,0,0,0,0,0,2,21,26.306666667,18.29,2,1,4,29,"null"
0x015e3a0c1ef7458b2d83fea7df4081d966583365,2.95,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,1100.56,3,14,367.596666667,1100.56,2,3,11,46,"null"
0x06e0f72571703427ae3ab9a8248b20f5c327317c,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,130.31,2,28,65.1675,0,2,1,11,75,"null"
0x0683ed3990f17bddbe1a5ffef46f8875e9f7861e,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,35513.66,2,23.333333,7102.742,0,4,3,5,24,"null"
0x0d88c766a747c31dce6d66708ed5552a782bdaa6,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,1376.29,2,38.5,251.574545455,0,5,2,11,77,"null"
0x07224e40a703ee232b84ee77058e015c1764537e,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,6999.85,1,28,3044.935,0,3,1,1,5,"null"
0x096a3bebe7492d20ab3b3d44a9cc927a98d5d02d,0,"null","null","null","null","null","null","null","null","null",0,0,0,1,1,907.99,4,11.2,133.07375,908.12,6,5,5,10,"null"
0x08f2bd1e9bb816ea9ffbcfa63d67d9af26bbbeed,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,20.2,2,14,6.946666667,10.1,3,3,11,73,"null"
0x0b47e6574084b3dc5337b3944e9e1a6a055e8125,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,50,2,16.333333,16.718571429,0,4,3,2,3,"null"
0x0552761187d6f4b1acd64d51e8bfc0b4af16b7f7,0,202.306020462,1,4,2,"null","null","null","null",162.54,0,0,0,0,0,81.34,2,35,58.892,160.3,2,1,9,67,"null"
0x0dbcc914ebda38a97f7161e9c060df5eb08cdda0,0,76.634741681,1,1,1,"null","null","null","null",0,0,0,0,1,1,0,2,28,58.1075,82.21,2,1,6,9,"null"
0x0e0883ddcc5f4427ef990cd9ccc54538cdf5db0b,0,97529.118824532,15,61,8,"null","null","null","null",17644.15,0,0,0,199,2,105902.99,5,31.266667,4035.139701493,95572.63,32,15,13,22,"null"
0x0a4dbec2f5ebc3976dde5c796df0344887aba4c8,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,51.68,2,18.666667,12.94125,0,3,3,12,50,"null"
0x081cde5b1a9ea56aa91b1f7aa1306c59204a6bde,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,0,3,21,1.641111111,0,5,3,6,23,"null"
0x05447cb634720a22294fb213fcea4a091b4bd0bc,0,37.697035898,2,1,1,"null","null","null","null",0,0,0,0,0,0,0,2,42,29.451666667,37.7,3,1,9,63,"null"
0x07571bbe830e48988b5fb7abe67308143d84b1d1,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,0,2,56,26.3725,0,3,1,2,13,"null"
0x07b6845f679cc0c72c88790a51f64400bb96232f,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,0,2,10.5,211.893333333,0,1,2,4,31,"null"
0x0ae49368ef778bf551ae0d908e52ab72066a6ce2,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,845855.41,2,20,84586.127,836002.09,10,7,4,7,"null"
0x080fa67f1cb420fab344c820d30b3fa9af1a37e6,0,64.823267576,2,4,2,53.61,2,20.18,1,29.64,0,0,0,0,0,39.94,3,26,27.306538462,123.97,11,7,12,65,"null"
0x09451ab8d58cc4aefe1048f1946ac40fb65a9b3d,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,212.58,1,14,106.29,0,2,2,7,27,"null"
0x02c58ab4c276d40e11fd47913e4ccdbda2619c9e,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,0,2,21,392.249124839,0,2,12,9,66,"null"
0x073906a33917ac5399664ca3d8ea9fe8c35bb36a,0,11.509652362,16,16,3,"null","null","null","null",1.41,0,0,0,0,0,22.03,17,158.307692,0.01718537415,6.06,16,104,13,5,"null"
0x0267cef0e0ad7e46b067a0f00624ae387e4eaccf,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,4071.46,3,61.25,161.281714286,4081.67,20,4,1,3,"null"
0x033104cfbae62dc93d267306515311346e1c7e18,0,149417.511726806,4,3,2,"null","null","null","null",50443.22,0,0,0,0,0,1377649.8,3,20.176471,56230.35244898,1277496.54,35,17,11,28,"null"
0x0281ac0ca103df38f4b0e139cef8eb02a39c6335,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,11111.76,2,19,1169.663157895,0,8,7,9,44,"null"
0x0cfc45820fe49cea38c25dbfdb5e7294f5eb70f3,0,40.653673435,2,1,1,"null","null","null","null",0,0,0,0,0,0,0,2,42,25.748333333,40.65,3,1,0,4,"null"
0x02d1d514b068ab6e35413504e1a2dbb4840035db,0,67.935096285,2,7,2,79.6,3,20.18,1,35.74,0,0,0,0,0,91.92,3,22,25.365909091,144,12,7,11,45,"null"
0x06b25486141e002f3c7d9b9b03abe75088fbe2d7,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,0,2,14,51.1675,0.05,2,2,2,13,"null"
0x072f8b72205fd110b988140925a5dfb8a664bab6,0,919.535212332,6,12,6,"null","null","null","null",330.64,0,0,0,0,0,165.15,8,20.125,98.732608696,1570.54,11,8,10,41,"null"
0x0210385c62ddcbfef48f477681500ba04949f6d7,0,3.999676927,1,2,1,"null","null","null","null",4,0,0,0,0,0,109.89,2,35,44.366,109.94,3,1,6,45,"null"
0x094dcdf6ca9ca898a2bc6f743cdc9cb4f9c8d5a0,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,51.19,2,21,34.126666667,0,1,1,6,42,"null"
0x0b0e879196bea9f90f836833ba21afdf7684d23f,0,84.8304,1,1,1,"null","null","null","null",0,0,0,0,0,0,0,2,35,78.934,84.83,2,1,4,27,"null"
0x05c024980633413e82e1c021a5558cc0f9d5a043,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,20.86,2,42,7.338333333,10.43,3,1,12,88,"null"
0x09535b5c76a7daa3d888b9aff95199aff386afa3,0,41.4408,1,1,1,"null","null","null","null",0,0,0,0,0,0,0,3,33.25,142.611052632,204.37,6,4,6,21,"null"
0x05496dc8a4b5863783085b63b5fe1b28ec66af00,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,0,2,24.5,69.492857143,0,3,2,4,31,"null"
0x02b0daae8b52f6de32da0fbbe1988453b9740e0b,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,165.87,2,7,120.123333333,165.87,1,3,9,67,"null"
0x048c9249e44dce9cfaa5551c4cef6b17d8e482c1,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,53.73,2,21,35.84,0,1,1,0,3,"null"
0x08bb0a985ccb0e8c17db4ca90b5994fa332ab4f8,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,20.86,2,42,7.73,10.43,3,1,13,90,"null"
0x070a9d1e2d2eaf72601d16b4f7a78a3bfb22ad6c,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,2043.02,2,16.333333,583.722857143,0,3,3,10,68,"null"
0x05a57feae8fd23decef7b92f534a30b12ef74b61,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,66.66,2,28,38.63,0,2,1,2,14,"null"
0x01c07ae174d43dc021d7286995c46a5e811d131f,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,186.54,2,49,53.31,0,3,1,11,77,"null"
0x0ba9178a3697fa485d5ece0365e28bd30ce98e5a,0,41.240877848,2,1,1,"null","null","null","null",0,0,0,0,0,0,0,2,42,36.191666667,41.24,3,1,0,4,"null"
0x09c50b301c64f9569c20f57cc373eae77b725c9e,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,2317.41,1,14,2317.41,0,1,1,3,25,"null"
0x0a66f1a054cda8318604ce329262b3c170c4c43c,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,0,2,147,71.667142857,1017.84,15,1,7,50,"null"
0x01c51aa0ee555b8f6bb6358f9042ac6fb55c9780,0,"null","null","null","null",3.3,1,"null","null","null",0,0,0,0,0,3.3,3,17.5,19.616,4.03,3,2,13,90,"null"
